"";"ASV1679";"ASV1716";"ASV1889";"ASV2217";"ASV2616";"ASV2655";"ASV2768";"ASV2769";"ASV2832";"ASV2883";"ASV2990";"ASV3110";"ASV3244";"ASV3341";"ASV3564";"ASV3567";"ASV3568";"ASV3655";"ASV3986";"ASV4071";"ASV4128";"ASV4130";"ASV4176";"ASV4177";"ASV4178";"ASV4179";"ASV4180";"ASV4185";"ASV4259";"ASV4449";"ASV4450";"ASV4538";"ASV4540";"ASV4614";"ASV4615";"ASV4713";"ASV4718";"ASV4719";"ASV4807";"ASV4808";"ASV4817";"ASV4935";"ASV4943";"ASV4949";"ASV5084";"ASV5206";"ASV5346";"ASV5353";"ASV5356";"ASV5362";"ASV5494";"ASV5658";"ASV5669";"ASV5672";"ASV5675";"ASV5818";"ASV5819";"ASV5822";"ASV6015";"ASV6026";"ASV6040";"ASV6046"
"F1A17";48;0;0;91;69;17;0;0;59;0;0;0;45;0;37;0;0;0;0;0;14;0;11;0;0;0;0;0;12;0;0;0;0;21;0;0;0;0;19;19;0;0;0;0;0;0;15;0;0;0;0;13;0;0;0;12;0;0;11;0;0;0
"F1F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;12;0;0;0;0;0
"F1A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;37;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F2A17";95;0;0;0;0;0;62;47;0;0;53;0;0;43;0;0;0;0;0;0;13;0;0;0;0;26;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;18;0;0;0;0;0;0;15;0;14;0;0;0;0;0;0;12;0;0;0;0
"F2F18";0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
"F2A18";0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3A17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3F18";0;0;79;0;0;0;0;0;0;57;0;18;0;0;0;0;0;0;0;17;0;27;0;0;21;0;0;0;4;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0
"F3A18";0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;0;0;0;0;18;0;0;0;0;0;15;0;0;0;4;0;0;0;0;0;0;11;0
"F4A17";0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F4F18";0;63;40;0;0;50;0;0;0;0;0;23;0;0;0;0;0;35;0;11;0;0;0;0;0;0;0;26;9;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;13;0;0;0;0;0;0;0
"F4A18";0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
